16:40:31.577859 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:32.365027 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:33.364613 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:34.578675 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:35.367607 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:36.168576 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:40:36.168966 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:40:36.364178 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:37.489439 IP 192.168.139.142.48708 > 192.168.139.144.5101: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.489598 IP 192.168.139.142.48708 > 192.168.139.144.9877: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.489769 IP 192.168.139.142.48708 > 192.168.139.144.4: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.489987 IP 192.168.139.144.256 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.490082 IP 192.168.139.144.ftp > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.490279 IP 192.168.139.144.imap2 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.490530 IP 192.168.139.144.smtp > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.490750 IP 192.168.139.144.sunrpc > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.490900 IP 192.168.139.144.netbios-ssn > 192.168.139.142.48708: Flags [S.], seq 507916220, ack 1770984315, win 64240, options [mss 1460], length 0
16:40:37.490990 IP 192.168.139.144.http-alt > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.491083 IP 192.168.139.144.microsoft-ds > 192.168.139.142.48708: Flags [S.], seq 507962134, ack 1770984315, win 64240, options [mss 1460], length 0
16:40:37.491203 IP 192.168.139.144.rtsp > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.491283 IP 192.168.139.144.submission > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.491363 IP 192.168.139.144.pop3s > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.491449 IP 192.168.139.144.1025 > 192.168.139.142.48708: Flags [S.], seq 508000169, ack 1770984315, win 64240, options [mss 1460], length 0
16:40:37.491538 IP 192.168.139.144.mysql > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.491626 IP 192.168.139.144.1723 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.491710 IP 192.168.139.144.ssh > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.491793 IP 192.168.139.144.telnet > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.491942 IP 192.168.139.144.domain > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.492026 IP 192.168.139.144.auth > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.492111 IP 192.168.139.144.458 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.492197 IP 192.168.139.144.5101 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.492277 IP 192.168.139.144.9877 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.492356 IP 192.168.139.144.4 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.492503 IP 192.168.139.142.48708 > 192.168.139.144.5555: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.492599 IP 192.168.139.142.48708 > 192.168.139.144.8011: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.492753 IP 192.168.139.142.48708 > 192.168.139.144.33899: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.492902 IP 192.168.139.142.48708 > 192.168.139.144.668: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.493057 IP 192.168.139.142.48708 > 192.168.139.144.667: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.493229 IP 192.168.139.142.48708 > 192.168.139.144.netbios-ssn: Flags [R], seq 1770984315, win 0, length 0
16:40:37.493298 IP 192.168.139.142.48708 > 192.168.139.144.microsoft-ds: Flags [R], seq 1770984315, win 0, length 0
16:40:37.493353 IP 192.168.139.142.48708 > 192.168.139.144.1025: Flags [R], seq 1770984315, win 0, length 0
16:40:37.493407 IP 192.168.139.142.48708 > 192.168.139.144.3889: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.493499 IP 192.168.139.142.48708 > 192.168.139.144.2800: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.493555 IP 192.168.139.142.48708 > 192.168.139.144.3071: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.493647 IP 192.168.139.142.48708 > 192.168.139.144.6112: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.493740 IP 192.168.139.142.48708 > 192.168.139.144.1036: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.493802 IP 192.168.139.142.48708 > 192.168.139.144.9010: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.493941 IP 192.168.139.144.5555 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.494001 IP 192.168.139.144.8011 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.494101 IP 192.168.139.144.33899 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.494187 IP 192.168.139.144.668 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.494279 IP 192.168.139.144.667 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.494373 IP 192.168.139.142.48708 > 192.168.139.144.9220: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.494431 IP 192.168.139.142.48708 > 192.168.139.144.1047: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.494581 IP 192.168.139.142.48708 > 192.168.139.144.1301: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.494776 IP 192.168.139.142.48708 > 192.168.139.144.1154: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.494931 IP 192.168.139.142.48708 > 192.168.139.144.3703: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.495084 IP 192.168.139.142.48708 > 192.168.139.144.687: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.495186 IP 192.168.139.142.48708 > 192.168.139.144.8899: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.495320 IP 192.168.139.144.3889 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.495420 IP 192.168.139.142.48708 > 192.168.139.144.3: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.495554 IP 192.168.139.144.2800 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.495724 IP 192.168.139.142.48708 > 192.168.139.144.1151: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.495815 IP 192.168.139.144.3071 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.495959 IP 192.168.139.142.48708 > 192.168.139.144.9898: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.496047 IP 192.168.139.144.6112 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.496197 IP 192.168.139.142.48708 > 192.168.139.144.898: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.496286 IP 192.168.139.144.1036 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.496463 IP 192.168.139.142.48708 > 192.168.139.144.4002: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.496594 IP 192.168.139.144.9010 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.496809 IP 192.168.139.142.48708 > 192.168.139.144.9593: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.496941 IP 192.168.139.142.48708 > 192.168.139.144.5030: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.497001 IP 192.168.139.142.48708 > 192.168.139.144.1104: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.497094 IP 192.168.139.142.48708 > 192.168.139.144.1783: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.497263 IP 192.168.139.144.9220 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.497324 IP 192.168.139.144.1047 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.497379 IP 192.168.139.144.1301 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.497471 IP 192.168.139.144.1154 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.497612 IP 192.168.139.142.48708 > 192.168.139.144.8291: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.497771 IP 192.168.139.144.3703 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.497831 IP 192.168.139.144.687 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.497989 IP 192.168.139.144.8899 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.498209 IP 192.168.139.144.3 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.498370 IP 192.168.139.144.1151 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.498528 IP 192.168.139.144.9898 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.498724 IP 192.168.139.144.898 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.499358 IP 192.168.139.144.4002 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.499591 IP 192.168.139.144.9593 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.499710 IP 192.168.139.144.5030 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.499791 IP 192.168.139.144.1104 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.499868 IP 192.168.139.144.1783 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.500287 IP 192.168.139.144.8291 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.500474 IP 192.168.139.142.48708 > 192.168.139.144.2702: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.500552 IP 192.168.139.142.48708 > 192.168.139.144.whois: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.500648 IP 192.168.139.142.48708 > 192.168.139.144.2323: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.500781 IP 192.168.139.142.48708 > 192.168.139.144.nntp: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.500837 IP 192.168.139.142.48708 > 192.168.139.144.16012: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.500927 IP 192.168.139.142.48708 > 192.168.139.144.1086: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.501071 IP 192.168.139.144.2702 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.501220 IP 192.168.139.142.48708 > 192.168.139.144.rsync: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.501316 IP 192.168.139.142.48708 > 192.168.139.144.1666: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.501411 IP 192.168.139.142.48708 > 192.168.139.144.2042: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.501549 IP 192.168.139.144.whois > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.501607 IP 192.168.139.144.2323 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.501726 IP 192.168.139.142.48708 > 192.168.139.144.3221: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.502408 IP 192.168.139.142.48708 > 192.168.139.144.49157: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.502529 IP 192.168.139.142.48708 > 192.168.139.144.8085: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.502623 IP 192.168.139.142.48708 > 192.168.139.144.12265: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.502693 IP 192.168.139.142.48708 > 192.168.139.144.gris: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.502750 IP 192.168.139.142.48708 > 192.168.139.144.20221: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.502842 IP 192.168.139.142.48708 > 192.168.139.144.2046: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.503017 IP 192.168.139.144.nntp > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.503083 IP 192.168.139.144.16012 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.503139 IP 192.168.139.144.1086 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.503237 IP 192.168.139.144.rsync > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
